destination,origin,valueCars,valueCoal,valueCoffee,valueIron_Steel,valueNaturalGas,valueOil,destination_fullname,origin_fullname,period,unitcode,unit,year,contig,comlang_off,comlang_ethno,comcol,col45,distw,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,area_o,area_d,tdiff,heg_o,heg_d,conflict,indepdate,comcur,comrelig,comleg_pretrans,comleg_posttrans,transition_legalchange,legold_o,legold_d,legnew_o,legnew_d,gatt_o,gatt_d,fta_wto,fta_hmr,eu_o,eu_d
CAN,AFG,,,743,,,,Canada,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,10516.29307956734,32.52656173706055,35.85177230834961,19331287040,1550536540160,594.32312,43248.531,652225,9976139,9.916666,0,0,,,0,.0059580002,0,0,0,fr,uk,fr,uk,0,1,0,,0,0
CHN,AFG,,,,2359,,,China,Afghanistan,Annual,USD,US$,2016,1,0,0,0,0,4434.382121147156,32.52656173706055,1371.219970703125,19331287040,11007720161280,594.32312,8027.6836,652225,9572378,3.5,0,0,,,0,.023832001,0,0,0,fr,so,fr,ge,0,1,0,,0,0
EEC,AFG,70632,,,8079,,,European Union,Afghanistan,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,AFG,,,,,41909,,Kazakhstan,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,1647.539248236609,32.52656173706055,17.54412651062012,19331287040,184388435968,594.32312,10509.981,652225,2717300,1,0,0,,,0,.46671,0,1,1,fr,so,fr,fr,0,1,0,,0,0
MEX,AFG,,,,13735,,,Mexico,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,13588.66571445007,32.52656173706055,127.0172271728516,19331287040,1143793123328,594.32312,9005.0234,652225,1967210,11.5,0,0,,,0,0,1,1,0,fr,fr,fr,fr,0,1,0,,0,0
MOZ,AFG,30517,,,38991,,,Mozambique,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,7120.936855617141,32.52656173706055,27.97786331176758,19331287040,14807075840,594.32312,529.24255,652225,801590,2.5,0,0,,,0,.12909001,1,1,0,fr,fr,fr,fr,0,1,0,,0,0
NPL,AFG,,814225,,,,,Nepal,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,1774.07719290905,32.52656173706055,28.51370048522949,19331287040,21194887168,594.32312,743.32294,652225,147181,1.25,0,0,,,0,.029790001,0,0,0,fr,uk,fr,uk,0,1,0,,0,0
TGO,AFG,1011,,,7699,,,Togo,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,7463.657621117973,32.52656173706055,7.304577827453613,19331287040,4087904000,594.32312,559.63593,652225,56785,4.5,0,0,,,0,.16881001,1,1,0,fr,fr,fr,fr,0,1,0,,0,0
TUN,AFG,42708,,,,,,Tunisia,Afghanistan,Annual,USD,US$,2016,0,0,0,0,0,5183.573716976928,32.52656173706055,11.1077995300293,19331287040,43015090176,594.32312,3872.5122,652225,164150,3.5,0,0,,,0,.98704207,1,1,0,fr,fr,fr,fr,0,1,0,,0,0
ARG,AGO,,,,,10851739,,Argentina,Angola,Annual,USD,US$,2016,0,0,0,0,0,7977.915715079307,25.02197456359863,43.41675567626953,102626926592,583168557056,4101.4722,13431.878,1246700,2766889,4,0,0,,,0,.63463795,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
AUS,AGO,,,,,19837411,,Australia,Angola,Annual,USD,US$,2016,0,0,0,0,0,12954.90535159645,25.02197456359863,23.78116989135742,102626926592,1339140472832,4101.4722,56310.957,1246700,7686848,8.3500004,0,0,,,0,.249882,0,0,0,fr,uk,fr,uk,1,1,0,,0,0
BRA,AGO,,,,,5707785,,Brazil,Angola,Annual,USD,US$,2016,0,1,1,0,0,6440.572262047004,25.02197456359863,207.8475341796875,102626926592,1774724841472,4101.4722,8538.5898,1246700,8511920,4.5,0,0,,,0,.61110598,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
CHN,AGO,,,,,60718858,13866426136,China,Angola,Annual,USD,US$,2016,0,0,0,0,0,11829.96678015289,25.02197456359863,1371.219970703125,102626926592,11007720161280,4101.4722,8027.6836,1246700,9572378,7,0,0,,,0,0,0,0,0,fr,so,fr,ge,1,1,0,,0,0
CHT,AGO,,,,,,1302850900,Chinese Taipei,Angola,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,AGO,,,5882,,,,Cabo Verde,Angola,Annual,USD,US$,2016,0,1,1,1,0,5054.009819254779,25.02197456359863,.520501971244812,102626926592,1603239296,4101.4722,3080.1792,1246700,4033,2,0,0,,,0,.66477299,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
CUB,AGO,,,,,236523,,Cuba,Angola,Annual,USD,US$,2016,0,0,0,0,0,10784.00656270618,25.02197456359863,11.38956165313721,102626926592,,4101.4722,,1246700,110861,6,0,0,,,0,.22142398,0,1,1,fr,so,fr,fr,1,1,0,,0,0
DOM,AGO,,,,,1180458,,Dominican Republic,Angola,Annual,USD,US$,2016,0,0,0,0,0,9734.70052999134,25.02197456359863,10.52839088439941,102626926592,68102619136,4101.4722,6468.4736,1246700,48734,5,0,0,,,0,.66641396,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
EEC,AGO,860914,,558788,14287,34299822,3944169897,European Union,Angola,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,AGO,,,,,,232949384,Indonesia,Angola,Annual,USD,US$,2016,0,0,0,0,0,10408.96155630703,25.02197456359863,257.5638122558594,102626926592,861933993984,4101.4722,3346.4871,1246700,1933658,7,0,0,,,0,.028052999,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
IND,AGO,21027,,,,134312140,2146338653,India,Angola,Annual,USD,US$,2016,0,0,0,0,0,7771.99512156086,25.02197456359863,1311.050537109375,102626926592,2095398387712,4101.4722,1598.259,1246700,3287590,4.5,0,0,,,0,.011108999,0,0,0,fr,uk,fr,uk,1,1,0,,0,0
JPN,AGO,,,,,16749769,,Japan,Angola,Annual,USD,US$,2016,0,0,0,0,0,13676.42419951439,25.02197456359863,126.9584732055664,102626926592,4123257733120,4101.4722,32477.215,1246700,377801,8,0,0,,,0,.0059039998,0,0,0,fr,ge,fr,ge,1,1,0,,0,0
KOR,AGO,,,,,45734555,118882401,"Korea, Republic of",Angola,Annual,USD,US$,2016,0,0,0,0,0,12773.39468068924,25.02197456359863,50.61704635620117,102626926592,1377873166336,4101.4722,27221.525,1246700,99484,8,0,0,,,0,.050949,0,0,0,fr,ge,fr,ge,1,1,0,,0,0
MOZ,AGO,,,,130850,,,Mozambique,Angola,Annual,USD,US$,2016,0,1,1,1,0,2664.913331637573,25.02197456359863,27.97786331176758,102626926592,14807075840,4101.4722,529.24255,1246700,801590,1,0,0,,,0,.22918199,1,1,0,fr,fr,fr,fr,1,1,1,,0,0
NOR,AGO,,,,,,23820086,Norway,Angola,Annual,USD,US$,2016,0,0,0,0,0,7837.547428778266,25.02197456359863,5.195920944213867,102626926592,386578448384,4101.4722,74400.375,1246700,323752,0,0,0,,,0,.195705,0,0,0,fr,sc,fr,sc,1,1,0,,0,0
SEN,AGO,,,,2900,,,Senegal,Angola,Annual,USD,US$,2016,0,0,0,0,0,4348.780406812763,25.02197456359863,15.12927341461182,102626926592,13609989120,4101.4722,899.57983,1246700,196722,1,0,0,,,0,.038669996,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
THA,AGO,,,,221749,,157203594,Thailand,Angola,Annual,USD,US$,2016,0,0,0,0,0,9936.604304104232,25.02197456359863,67.95935821533203,102626926592,395168022528,4101.4722,5814.77,1246700,513115,6,0,0,,,0,.003144,0,0,0,fr,uk,fr,uk,1,1,0,,0,0
URY,AGO,,,,,,226117355,Uruguay,Angola,Annual,USD,US$,2016,0,0,0,0,0,7575.980878735542,25.02197456359863,3.431555032730103,102626926592,53442699264,4101.4722,15573.901,1246700,176215,4,0,0,,,0,.41252699,1,1,0,fr,fr,fr,fr,1,1,0,,0,0
USA,AGO,,,41895,6171,76267842,2298275388,United States of America,Angola,Annual,USD,US$,2016,0,0,0,0,0,12153.60555317459,25.02197456359863,321.4188232421875,102626926592,18036648050688,4101.4722,56115.719,1246700,9529106,8.5,0,0,,,0,.29242799,0,0,0,fr,uk,fr,uk,1,1,0,,0,0
ZAF,AGO,,,1,15588,,1262291697,South Africa,Angola,Annual,USD,US$,2016,0,0,0,0,0,2579.672264684391,25.02197456359863,54.9569206237793,102626926592,314571948032,4101.4722,5723.9731,1246700,1219912,1,0,0,,,0,.14866799,0,0,0,fr,uk,fr,uk,1,1,1,,0,0
ARG,ALB,,,,51860,,,Argentina,Albania,Annual,USD,US$,2016,0,0,0,0,0,11662.55611608734,2.889167070388794,43.41675567626953,11398392832,583168557056,3945.2175,13431.878,28748,2766889,4,0,0,,,0,.00041000001,0,1,1,so,fr,fr,fr,1,1,0,,0,0
AUS,ALB,,,,420342,,,Australia,Albania,Annual,USD,US$,2016,0,0,0,0,0,15208.4966278038,2.889167070388794,23.78116989135742,11398392832,1339140472832,3945.2175,56310.957,28748,7686848,8.3500004,0,0,,,0,.00041000001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
BOL,ALB,,,,8062,,,"Bolivia, Plurinational State of",Albania,Annual,USD,US$,2016,0,0,0,0,0,10935.63080497818,2.889167070388794,10.72470474243164,11398392832,32997685248,3945.2175,3076.792,28748,1098581,5,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
BRA,ALB,,,,265335,,,Brazil,Albania,Annual,USD,US$,2016,0,0,0,0,0,9388.91504447174,2.889167070388794,207.8475341796875,11398392832,1774724841472,3945.2175,8538.5898,28748,8511920,4.5,0,0,,,0,.000205,0,1,1,so,fr,fr,fr,1,1,0,,0,0
CAN,ALB,,,,345289,,9,Canada,Albania,Annual,USD,US$,2016,0,0,0,0,0,7842.518130947876,2.889167070388794,35.85177230834961,11398392832,1550536540160,3945.2175,43248.531,28748,9976139,6.4166665,0,0,,,0,.0012300001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
CHE,ALB,,,,390678,,,Switzerland,Albania,Annual,USD,US$,2016,0,0,0,0,0,1169.540509963131,2.889167070388794,8.286975860595703,11398392832,670789926912,3945.2175,80945.078,28748,41288,0,0,0,,,0,.00061500003,0,0,0,so,ge,fr,ge,1,1,1,,0,0
CHL,ALB,,,,388131,,,Chile,Albania,Annual,USD,US$,2016,0,0,0,0,0,12433.14174405441,2.889167070388794,17.94814109802246,11398392832,240796385280,3945.2175,13416.229,28748,756945,6,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
CHN,ALB,,,,1085279,,8171651,China,Albania,Annual,USD,US$,2016,0,0,0,0,0,8026.048401406098,2.889167070388794,1371.219970703125,11398392832,11007720161280,3945.2175,8027.6836,28748,9572378,7,0,0,,,0,.0049200002,1,0,1,so,so,fr,ge,1,1,0,,0,0
CHT,ALB,,,,325700,,,Chinese Taipei,Albania,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,ALB,38429,,,,,,Costa Rica,Albania,Annual,USD,US$,2016,0,0,0,0,0,10431.94020048676,2.889167070388794,4.807849884033203,11398392832,54136836096,3945.2175,11260.093,28748,51076,7,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
DOM,ALB,,,,302621,,,Dominican Republic,Albania,Annual,USD,US$,2016,0,0,0,0,0,8653.199654058075,2.889167070388794,10.52839088439941,11398392832,68102619136,3945.2175,6468.4736,28748,48734,5,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
EEC,ALB,13406775,,50921,39752016,3695205,100470052,European Union,Albania,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,ALB,,,,5460741,,,India,Albania,Annual,USD,US$,2016,0,0,0,0,0,5735.208985808182,2.889167070388794,1311.050537109375,11398392832,2095398387712,3945.2175,1598.259,28748,3287590,4.5,0,0,,,0,.023780001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
JPN,ALB,,,,2695267,,,Japan,Albania,Annual,USD,US$,2016,0,0,0,0,0,9382.620588320922,2.889167070388794,126.9584732055664,11398392832,4123257733120,3945.2175,32477.215,28748,377801,8,0,0,,,0,0,0,0,0,so,ge,fr,ge,1,1,0,,0,0
MEX,ALB,,,,122478,,,Mexico,Albania,Annual,USD,US$,2016,0,0,0,0,0,10737.21411662445,2.889167070388794,127.0172271728516,11398392832,1143793123328,3945.2175,9005.0234,28748,1967210,8,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
MLI,ALB,13177,,,,,,Mali,Albania,Annual,USD,US$,2016,0,0,0,0,0,4071.517071937943,2.889167070388794,17.59969329833984,11398392832,12746688512,3945.2175,724.25629,28748,1240142,1,0,0,,,0,.164,0,1,1,so,fr,fr,fr,1,1,0,,0,0
MNE,ALB,,,,1919021,479097,,Montenegro,Albania,Annual,USD,US$,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,ALB,,,,175015,,,Malaysia,Albania,Annual,USD,US$,2016,0,0,0,0,0,9263.162550868225,2.889167070388794,30.33100700378418,11398392832,296283176960,3945.2175,9768.3262,28748,329758,7,0,0,,,0,.10127001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
NZL,ALB,,,,180246,,,New Zealand,Albania,Annual,USD,US$,2016,0,0,0,0,0,17853.9635962822,2.889167070388794,4.595699787139893,11398392832,173754073088,3945.2175,37807.969,28748,268676,11.375,0,0,,,0,0,0,0,0,so,uk,fr,uk,1,1,0,,0,0
PER,ALB,,,,95620,,,Peru,Albania,Annual,USD,US$,2016,0,0,0,0,0,11370.40278581924,2.889167070388794,31.37667083740234,11398392832,189111140352,3945.2175,6027.126,28748,1285216,6,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
PRY,ALB,21435,,,,,,Paraguay,Albania,Annual,USD,US$,2016,0,0,0,0,0,10823.77274791985,2.889167070388794,6.63912296295166,11398392832,27093938176,3945.2175,4080.9514,28748,406752,5,0,0,,,0,0,0,1,1,so,fr,fr,fr,1,1,0,,0,0
SAU,ALB,,,,,35153,,"Saudi Arabia, Kingdom of",Albania,Annual,USD,US$,2016,0,0,0,0,0,2940.636661922836,2.889167070388794,31.54037284851074,11398392832,646001852416,3945.2175,20481.744,28748,2153168,2,0,0,,,0,.20254001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
SEN,ALB,988231,,,3208,,,Senegal,Albania,Annual,USD,US$,2016,0,0,0,0,0,4614.386786738968,2.889167070388794,15.12927341461182,11398392832,13609989120,3945.2175,899.57983,28748,196722,1,0,0,,,0,.18655001,0,1,1,so,fr,fr,fr,1,1,0,,0,0
THA,ALB,,,,53990,,,Thailand,Albania,Annual,USD,US$,2016,0,0,0,0,0,8249.614128628158,2.889167070388794,67.95935821533203,11398392832,395168022528,3945.2175,5814.77,28748,513115,6,0,0,,,0,.0079950001,0,0,0,so,uk,fr,uk,1,1,0,,0,0
